"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NI48PR3A","journalArticle","2019","Krishnan, N. M. Anoop; Ravinder, R.; Kumar, Rajesh; Le Pape, Yann; Sant, Gaurav; Bauchy, Mathieu","Density–stiffness scaling in minerals upon disordering: Irradiation vs. vitrification","Acta Materialia","","1359-6454","10.1016/j.actamat.2019.01.015","https://www.sciencedirect.com/science/article/pii/S1359645419300291","When subjected to irradiation or vitrification, minerals become disordered at the atomic scale, which, in turn, affect their density and stiffness. However, the nature of the relationship between structural disorder, density, and stiffness remains poorly understood. Here, based on molecular dynamics simulations, we investigate the effect of irradiation- and vitrification-induced disordering in a series of silicate minerals. We show that irradiation- and vitrification-induced disordering yield comparable, yet not fully equivalent variations in density and stiffness. Interestingly, we report the existence of a power law density–stiffness scaling exhibiting a scaling exponent that is similar to that observed in porous assembled cellular materials.","2019-03-01","2023-05-19 17:57:50","2023-05-19 17:57:50","2023-05-19 17:57:49","611-617","","","166","","Acta Materialia","Density–stiffness scaling in minerals upon disordering","","","","","","","en","","","","","ScienceDirect","","","","/Users/ravinder/Zotero/storage/R8NUIYWF/Krishnan et al. - 2019 - Density–stiffness scaling in minerals upon disorde.pdf","","","Density–stiffness scaling; Disorder; Irradiation; Molecular dynamics; Vitrification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BLYUUCBT","journalArticle","2020","Bhaskar, Pratik; Kumar, Rajesh; Maurya, Yashasvi; Ravinder, R.; Allu, Amarnath R.; Das, Sumanta; Gosvami, Nitya Nand; Youngman, Randall E.; Bødker, Mikkel S.; Mascaraque, Nerea; Smedskjaer, Morten M.; Bauchy, Mathieu; Krishnan, N. M. Anoop","Cooling rate effects on the structure of 45S5 bioglass: Insights from experiments and simulations","Journal of Non-Crystalline Solids","","0022-3093","10.1016/j.jnoncrysol.2020.119952","https://www.sciencedirect.com/science/article/pii/S0022309320300697","Due to its ability to bond with living tissues upon dissolution, 45S5 bioglass and related compositions materials are extensively used for the replacement, regeneration, and repair of hard tissues in the human body. However, the details of its atomic structure remain debated. This is partially due to the non-equilibrium nature of glasses, as their non-crystalline structure is highly dependent on their thermal history, namely, the cooling rate used during quenching. Herein, combining molecular dynamics (MD) simulations with cooling rates ranging over several orders of magnitude and experimental studies using nuclear magnetic resonance (NMR), we investigate the structure of the nominal 45S5 bioglass composition. These results suggest that the MD simulation results when extrapolated to experimental cooling rates can provide a reasonable estimate of the structure of 45S5 bioglass. Finally, based on these results, we suggest the propensity of the phosphate group to form isolated orthophosphate species. Overall, these results reconcile the simulation and experimental results on the structure of 45S5 bioglass, and particularly on the speciation of the phosphate group, which may be key in controlling the bioactivity of 45S5 bioglass.","2020-04-15","2023-05-19 17:58:17","2023-05-19 17:58:17","2023-05-19 17:58:17","119952","","","534","","Journal of Non-Crystalline Solids","Cooling rate effects on the structure of 45S5 bioglass","","","","","","","en","","","","","ScienceDirect","","","","/Users/ravinder/Zotero/storage/A49K64D4/Bhaskar et al. - 2020 - Cooling rate effects on the structure of 45S5 biog.pdf; /Users/ravinder/Zotero/storage/UU7VCLZ4/S0022309320300697.html","","","45S5 bioglass; Cooling rate; Molecular dynamics; Nuclear magnetic resonance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QMGMSV7N","journalArticle","2020","Nayak, Sumeru; Ravinder, R.; Krishnan, N. M. Anoop; Das, Sumanta","A Peridynamics-Based Micromechanical Modeling Approach for Random Heterogeneous Structural Materials","Materials","","1996-1944","10.3390/ma13061298","https://www.mdpi.com/1996-1944/13/6/1298","This paper presents a peridynamics-based micromechanical analysis framework that can efficiently handle material failure for random heterogeneous structural materials. In contrast to conventional continuum-based approaches, this method can handle discontinuities such as fracture without requiring supplemental mathematical relations. The framework presented here generates representative unit cells based on microstructural information on the material and assigns distinct material behavior to the constituent phases in the random heterogenous microstructures. The framework incorporates spontaneous failure initiation/propagation based on the critical stretch criterion in peridynamics and predicts effective constitutive response of the material. The current framework is applied to a metallic particulate-reinforced cementitious composite. The simulated mechanical responses show excellent match with experimental observations signifying efficacy of the peridynamics-based micromechanical framework for heterogenous composites. Thus, the multiscale peridynamics-based framework can efficiently facilitate microstructure guided material design for a large class of inclusion-modified random heterogenous materials.","2020-01","2023-05-19 17:58:30","2023-05-19 17:58:30","2023-05-19 17:58:30","1298","","6","13","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 6 Publisher: Multidisciplinary Digital Publishing Institute","","/Users/ravinder/Zotero/storage/AURHGY46/Nayak et al. - 2020 - A Peridynamics-Based Micromechanical Modeling Appr.pdf","","","critical stretch; micromechanical modeling; particulate reinforced cementitious composites; random heterogeneous structural materials; state-based peridynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XGYJZUP","journalArticle","2020","Ravinder, R.; Singh, Sourabh; Bishnoi, Suresh; Jan, Amreen; Sharma, Amit; Kodamana, Hariprasad; Krishnan, N. M. Anoop","An adaptive, interacting, cluster-based model for predicting the transmission dynamics of COVID-19","Heliyon","","2405-8440","10.1016/j.heliyon.2020.e05722","https://www.sciencedirect.com/science/article/pii/S2405844020325652","The SARS-CoV-2 driven disease COVID-19 is pandemic with increasing human and monetary costs. COVID-19 has put an unexpected and inordinate degree of pressure on healthcare systems of strong and fragile countries alike. To launch both containment and mitigation measures, each country requires estimates of COVID-19 incidence as such preparedness allows agencies to plan efficient resource allocation and to design control strategies. Here, we have developed a new adaptive, interacting, and cluster-based mathematical model to predict the granular trajectory of COVID-19. We have analyzed incidence data from three currently afflicted countries of Italy, the United States of America, and India. We show that our approach predicts state-wise COVID-19 spread for each country with reasonable accuracy. We show that Rt, as the effective reproduction number, exhibits significant spatial variations in these countries. However, by accounting for the spatial variation of Rt in an adaptive fashion, the predictive model provides estimates of the possible asymptomatic and undetected COVID-19 cases, both of which are key contributors in COVID-19 transmission. We have applied our methodology to make detailed predictions for COVID19 incidences at the district and state level in India. Finally, to make the models available to the public at large, we have developed a web-based dashboard, namely “Predictions and Assessment of Corona Infections and Transmission in India” (PRACRITI, see http://pracriti.iitd.ac.in), which provides the detailed Rt values and a three-week forecast of COVID cases.","2020-12-01","2023-05-19 17:58:33","2023-05-19 17:58:33","2023-05-19 17:58:33","e05722","","12","6","","Heliyon","","","","","","","","en","","","","","ScienceDirect","","","","/Users/ravinder/Zotero/storage/BTKBE76H/Ravinder et al. - 2020 - An adaptive, interacting, cluster-based model for .pdf","","","Computational mathematics; COVID-19; Effective reproduction number; Epidemiology; Infectious disease; Mathematical modeling; Microbiology; Public health; RT; Transmission dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYQUQL5H","journalArticle","2020","Ravinder, R.; Kumar, Abhishek; Kumar, Rajesh; Vangla, Prashanth; Krishnan, N. M. Anoop","Irradiation-induced brittle-to-ductile transition in α-quartz","Journal of the American Ceramic Society","","1551-2916","10.1111/jace.16951","https://onlinelibrary.wiley.com/doi/abs/10.1111/jace.16951","Silicate materials such as quartz and silica glass are inherently brittle in nature. Here, using atomistic simulations, we demonstrate that the quartz crystal exhibits a brittle-to-ductile transition when irradiated. We show that the nanoscale plasticity observed in the irradiated structure is reminiscent of metal-like plasticity, which is neither observed in the isochemical crystalline or glassy structure. Invoking an energy landscape approach, we demonstrate that the local atomic self-organization facilitated by the shallow energy landscape is at the origin of this plastic behavior. Overall, the results suggest that the irradiation could be a methodology to induce a ductile transition in materials that are otherwise brittle.","2020","2023-05-19 17:58:36","2023-05-19 17:58:36","2023-05-19 17:58:36","3962-3970","","7","103","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/jace.16951","","/Users/ravinder/Zotero/storage/UUZZ7285/Ravinder et al. - 2020 - Irradiation-induced brittle-to-ductile transition .pdf","","","ductility; fracture; glass; molecular dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GYBTL93","journalArticle","2020","Ravinder, R.; Sridhara, Karthikeya H.; Bishnoi, Suresh; Grover, Hargun Singh; Bauchy, Mathieu; Jayadeva; Kodamana, Hariprasad; Krishnan, N. M. Anoop","Deep learning aided rational design of oxide glasses","Materials Horizons","","2051-6355","10.1039/D0MH00162G","https://pubs.rsc.org/en/content/articlelanding/2020/mh/d0mh00162g","Designing new glasses requires a priori knowledge of how the composition of a glass dictates its properties such as stiffness, density, or processability. Thus, accelerated design of glasses for targeted applications remain impeded due to the lack of composition–property models. To this extent, exploiting a large dataset of glasses comprising of up to 37 oxide components and more than 100 000 glass compositions, we develop high-fidelity deep neural networks for the prediction of eight properties that enable the design of glasses, namely, density, Young's modulus, shear modulus, hardness, glass transition temperature, thermal expansion coefficient, liquidus temperature, and refractive index. We demonstrate that the models developed here exhibit excellent predictability, ensuring its ability to capture the underlying nonlinear composition–property relationships. Using these models, we develop a series of new design charts, termed as glass selection charts. These charts enable the rational design of functional glasses for targeted applications by identifying unique compositions that satisfy two or more constraints, on both compositions and properties, simultaneously.","2020-07-06","2023-05-19 17:58:39","2023-05-19 17:58:39","2023-05-19 17:58:39","1819-1827","","7","7","","Mater. Horiz.","","","","","","","","en","","","","","pubs.rsc.org","","Publisher: The Royal Society of Chemistry","","/Users/ravinder/Zotero/storage/PP9W5JV8/Ravinder et al. - 2020 - Deep learning aided rational design of oxide glass.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZHWE2N4","journalArticle","2021","Bishnoi, Suresh; Ravinder, R.; Grover, Hargun Singh; Kodamana, Hariprasad; Krishnan, N. M. Anoop","Scalable Gaussian processes for predicting the optical, physical, thermal, and mechanical properties of inorganic glasses with large datasets","Materials Advances","","2633-5409","10.1039/D0MA00764A","https://pubs.rsc.org/en/content/articlelanding/2021/ma/d0ma00764a","Among machine learning approaches, Gaussian process regression (GPR) is an extremely useful technique to predict composition–property relationships in glasses. The GPR's main advantage over other machine learning methods is its inherent ability to provide the standard deviation of the predictions. However, the method remains restricted to small datasets due to the substantial computational cost associated with it. Herein, using a scalable GPR algorithm, namely, kernel interpolation for scalable structured Gaussian processes (KISS-GP) along with massively scalable GP (MSGP), we develop composition–property models for inorganic glasses. The models are based on a large dataset with more than 100 000 glass compositions, 37 components, and nine crucial properties: density, Young's, shear, bulk moduli, thermal expansion coefficient, Vickers’ hardness, refractive index, glass transition temperature, and liquidus temperature. We show that the models developed here are superior to the state-of-the-art machine learning models. We also demonstrate that the GPR models can reasonably capture the underlying composition-dependent physics, even in the regions where there are very few training data. Finally, to accelerate glass design, the models developed here are shared publicly as part of a package, namely, Python for Glass Genomics (PyGGi, see: http://pyggi.iitd.ac.in).","2021-01-18","2023-05-19 17:58:43","2023-05-19 17:58:43","2023-05-19 17:58:43","477-487","","1","2","","Mater. Adv.","","","","","","","","en","","","","","pubs.rsc.org","","Publisher: RSC","","/Users/ravinder/Zotero/storage/3FEQI6MJ/Bishnoi et al. - 2021 - Scalable Gaussian processes for predicting the opt.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAV5DAQB","journalArticle","2021","Ravinder; Venugopal, Vineeth; Bishnoi, Suresh; Singh, Sourabh; Zaki, Mohd; Grover, Hargun Singh; Bauchy, Mathieu; Agarwal, Manish; Krishnan, N. M. Anoop","Artificial intelligence and machine learning in glass science and technology: 21 challenges for the 21st century","International Journal of Applied Glass Science","","2041-1294","10.1111/ijag.15881","https://onlinelibrary.wiley.com/doi/abs/10.1111/ijag.15881","Glasses have been an integral part of human life for more than 2000 years. Despite several years of research and analysis, some fundamental and practical questions on glasses still remain unanswered. While most of the earlier approaches were based on (i) expert knowledge and intuition, (ii) Edisonian trial and error, or (iii) physics-driven modeling and analysis, recent studies suggest that data-driven techniques, such as artificial intelligence (AI) and machine learning (ML), can provide fresh perspectives to tackle some of these questions. In this article, we identify 21 grand challenges in glass science, the solutions of which are either enabling AI and ML or enabled by AI and ML to accelerate the field of glass science. The challenges presented here range from fundamental questions related to glass formation and composition–processing–property relationships to industrial problems such as automated flaw detection in glass manufacturing. We believe that the present article will instill enthusiasm among the readers to explore some of the grand challenges outlined here and to discover many more challenges that can advance the field of glass science, engineering, and technology.","2021","2023-05-19 17:58:46","2023-05-19 17:58:46","2023-05-19 17:58:46","277-292","","3","12","","","Artificial intelligence and machine learning in glass science and technology","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/ijag.15881","","/Users/ravinder/Zotero/storage/KSAAKF5F/Ravinder et al. - 2021 - Artificial intelligence and machine learning in gl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9LFU4J7S","journalArticle","2022","Zaki, Mohd; Venugopal, Vineeth; Bhattoo, Ravinder; Bishnoi, Suresh; Singh, Sourabh Kumar; Allu, Amarnath R.; Jayadeva; Krishnan, N. M. Anoop","Interpreting the optical properties of oxide glasses with machine learning and Shapely additive explanations","Journal of the American Ceramic Society","","1551-2916","10.1111/jace.18345","https://onlinelibrary.wiley.com/doi/abs/10.1111/jace.18345","Due to their excellent optical properties, glasses are used for various applications ranging from smartphone screens to telescopes. Developing compositions with tailored Abbe number (Vd) and refractive index at 587.6 nm (nd), two crucial optical properties, is a major challenge. To this extent, machine learning (ML) approaches have been successfully used to develop composition–property models. However, these models are essentially black boxes in nature and suffer from the lack of interpretability. In this paper, we demonstrate the use of ML models to predict the composition-dependent variations of Vd and nd. Further, using Shapely additive explanations (SHAP), we interpret the ML models to identify the contribution of each of the input components toward target prediction. We observe that glass formers such as SiO2, B2O3, and P2O5 and intermediates such as TiO2, PbO, and Bi2O3 play a significant role in controlling the optical properties. Interestingly, components contributing toward increasing the nd are found to decrease the Vd and vice versa. Finally, we develop the Abbe diagram, using the ML models, allowing accelerated discovery of new glasses for optical properties beyond the experimental pareto front. Overall, employing explainable ML, we predict and interpret the compositional control on the optical properties of oxide glasses.","2022","2023-05-19 17:58:50","2023-05-19 17:58:50","2023-05-19 17:58:50","4046-4057","","6","105","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/jace.18345","","/Users/ravinder/Zotero/storage/EHVNRWN8/Zaki et al. - 2022 - Interpreting the optical properties of oxide glass.pdf","","","glass; lead-free glass; optical materials/properties; refractive index","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEXY6VB4","journalArticle","2023","Bhattoo, Ravinder; Bishnoi, Suresh; Zaki, Mohd; Krishnan, N. M. Anoop","Understanding the compositional control on electrical, mechanical, optical, and physical properties of inorganic glasses with interpretable machine learning","Acta Materialia","","1359-6454","10.1016/j.actamat.2022.118439","https://www.sciencedirect.com/science/article/pii/S1359645422008163","Despite the use of inorganic glasses for more than 4500 years, the composition–property relationships in these materials remain poorly understood. Here, exploiting largescale experimental data and machine learning, we develop composition–property models for twenty five properties, which are interpreted using game-theoretic concepts. Specifically, we use a dataset consisting of ∼275,000 glass compositions comprising of 221 different components and 25 properties. This is by far the largest model developed in the literature. The analysis reveals that the glass components, such as network formers, modifiers, and intermediates, play distinct roles in governing the optical, physical, electrical, and mechanical properties of glasses. Interestingly, these components exhibit interdependence, the magnitude of which is different for different properties. While the physical origins of some of these interdependencies could be explained using known phenomena, the majority of the remaining ones remain to be explored. Thus, our work paves the way for decoding the “glass genome”, which can provide the recipe for discovering novel glasses while also shedding light on the fundamental factors governing the composition–structure–property relationships.","2023-01-01","2023-05-19 17:58:53","2023-05-19 17:58:53","2023-05-19 17:58:53","118439","","","242","","Acta Materialia","","","","","","","","en","","","","","ScienceDirect","","","","/Users/ravinder/Zotero/storage/7THE486A/Bhattoo et al. - 2023 - Understanding the compositional control on electri.pdf","","","composition–property relationships; Inorganic glasses; Interpretable machine learning; Material design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZQVP57P","journalArticle","2023","Bhattoo, Ravinder; Ranu, Sayan; Krishnan, N. M. Anoop","Learning the dynamics of particle-based systems with Lagrangian graph neural networks","Machine Learning: Science and Technology","","2632-2153","10.1088/2632-2153/acb03e","https://dx.doi.org/10.1088/2632-2153/acb03e","Physical systems are commonly represented as a combination of particles, the individual dynamics of which govern the system dynamics. However, traditional approaches require the knowledge of several abstract quantities such as the energy or force to infer the dynamics of these particles. Here, we present a framework, namely, Lagrangian graph neural network (LGnn), that provides a strong inductive bias to learn the Lagrangian of a particle-based system directly from the trajectory. We test our approach on challenging systems with constraints and drag—LGnn outperforms baselines such as feed-forward Lagrangian neural network (Lnn) with improved performance. We also show the zero-shot generalizability of the system by simulating systems two orders of magnitude larger than the trained one and also hybrid systems that are unseen by the model, a unique feature. The graph architecture of LGnn significantly simplifies the learning in comparison to Lnn with ∼25 times better performance on ∼20 times smaller amounts of data. Finally, we show the interpretability of LGnn, which directly provides physical insights on drag and constraint forces learned by the model. LGnn can thus provide a fillip toward understanding the dynamics of physical systems purely from observable quantities.","2023-01","2023-05-19 17:59:00","2023-05-19 17:59:00","2023-05-19 17:59:00","015003","","1","4","","Mach. Learn.: Sci. Technol.","","","","","","","","en","","","","","Institute of Physics","","Publisher: IOP Publishing","","/Users/ravinder/Zotero/storage/F3CK9ZG4/Bhattoo et al. - 2023 - Learning the dynamics of particle-based systems wi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
